timestamp,level,message,ip
2024-11-28T18:48:33.963579,INFO,Operation successful,192.168.1.71
2024-11-28T18:48:34.968100,INFO,Data saved,192.168.1.129
2024-11-28T18:48:35.971546,INFO,Data saved,192.168.1.246
2024-11-28T18:48:36.974961,INFO,Data saved,192.168.1.128
2024-11-28T18:48:37.978081,INFO,Data saved,192.168.1.71
2024-11-28T18:48:38.982138,ERROR,Failed login attempt,192.168.1.49
2024-11-28T18:48:39.985397,WARNING,Disk space low,192.168.1.246
2024-11-28T18:48:40.989264,ERROR,Service timeout,192.168.1.220
2024-11-28T18:48:41.992458,INFO,User logged in,192.168.1.217
2024-11-28T18:48:42.995888,INFO,Operation successful,192.168.1.157
2024-11-28T18:48:43.999733,INFO,User logged in,192.168.1.49
2024-11-28T18:48:45.003222,ERROR,Failed login attempt,192.168.1.93
2024-11-28T18:48:46.007224,INFO,Data saved,192.168.1.71
2024-11-28T18:48:47.010420,INFO,User logged in,192.168.1.42
2024-11-28T18:48:48.014352,INFO,Operation successful,192.168.1.49
2024-11-28T18:48:49.016181,INFO,Operation successful,192.168.1.220
2024-11-28T18:48:50.020297,ERROR,Service timeout,192.168.1.220
2024-11-28T18:48:51.023408,ERROR,Failed login attempt,192.168.1.129
2024-11-28T18:48:52.026441,WARNING,Disk space low,192.168.1.120
2024-11-28T18:48:53.029744,ERROR,Service timeout,192.168.1.157
2024-11-28T18:48:54.032045,INFO,Data saved,192.168.1.217
2024-11-28T18:48:55.035788,INFO,Data saved,192.168.1.49
2024-11-28T18:48:56.037755,INFO,Operation successful,192.168.1.129
2024-11-28T18:48:57.040938,INFO,Data saved,192.168.1.198
2024-11-28T18:48:58.043957,INFO,User logged in,192.168.1.190
2024-11-28T18:48:59.047055,INFO,Operation successful,192.168.1.220
2024-11-28T18:49:00.050967,ERROR,Service timeout,192.168.1.12
2024-11-28T18:49:01.054037,INFO,User logged in,192.168.1.70
2024-11-28T18:49:02.057217,INFO,Data saved,192.168.1.12
2024-11-28T18:49:03.060693,INFO,Operation successful,192.168.1.128
2024-11-28T18:49:04.064043,INFO,User logged in,192.168.1.191
2024-11-28T18:49:05.066091,WARNING,Memory usage high,192.168.1.49
2024-11-28T18:49:06.067947,INFO,User logged in,192.168.1.157
2024-11-28T18:49:07.070866,INFO,Data saved,192.168.1.42
2024-11-28T18:49:08.073979,INFO,User logged in,192.168.1.12
2024-11-28T18:49:09.076494,INFO,Data saved,192.168.1.128
2024-11-28T18:49:10.080319,INFO,Operation successful,192.168.1.191
2024-11-28T18:49:11.082855,ERROR,Failed login attempt,192.168.1.246
2024-11-28T18:49:12.086430,INFO,User logged in,192.168.1.191
2024-11-28T18:49:13.089656,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:49:14.091579,INFO,Data saved,192.168.1.176
2024-11-28T18:49:15.095455,INFO,Operation successful,192.168.1.49
2024-11-28T18:49:16.098417,INFO,User logged in,192.168.1.176
2024-11-28T18:49:17.100685,INFO,Operation successful,192.168.1.49
2024-11-28T18:49:18.103944,INFO,User logged in,192.168.1.143
2024-11-28T18:49:19.106958,INFO,Data saved,192.168.1.217
2024-11-28T18:49:20.109993,INFO,Operation successful,192.168.1.191
2024-11-28T18:49:21.112620,ERROR,Failed login attempt,192.168.1.42
2024-11-28T18:49:22.115840,INFO,Operation successful,192.168.1.128
2024-11-28T18:49:23.118057,INFO,Data saved,192.168.1.191
2024-11-28T18:49:24.119903,INFO,User logged in,192.168.1.128
2024-11-28T18:49:25.122039,INFO,Operation successful,192.168.1.49
2024-11-28T18:49:26.123864,ERROR,Failed login attempt,192.168.1.176
2024-11-28T18:49:27.128043,ERROR,Service timeout,192.168.1.120
2024-11-28T18:49:28.131108,ERROR,Failed login attempt,192.168.1.143
2024-11-28T18:49:29.134195,INFO,Data saved,192.168.1.49
2024-11-28T18:49:30.138161,INFO,Operation successful,192.168.1.49
2024-11-28T18:49:31.141209,INFO,User logged in,192.168.1.220
2024-11-28T18:49:32.144051,ERROR,Service timeout,192.168.1.157
2024-11-28T18:49:33.147066,INFO,User logged in,192.168.1.217
2024-11-28T18:49:34.148935,INFO,Data saved,192.168.1.128
2024-11-28T18:49:35.150987,WARNING,Memory usage high,192.168.1.176
2024-11-28T18:49:36.153783,INFO,Data saved,192.168.1.42
2024-11-28T18:49:37.156532,ERROR,Database connection lost,192.168.1.220
2024-11-28T18:49:38.158605,INFO,Data saved,192.168.1.49
2024-11-28T18:49:39.162067,INFO,User logged in,192.168.1.70
2024-11-28T18:49:40.164386,INFO,User logged in,192.168.1.71
2024-11-28T18:49:41.168305,INFO,User logged in,192.168.1.129
2024-11-28T18:49:42.171531,ERROR,Service timeout,192.168.1.176
2024-11-28T18:49:43.175268,ERROR,Database connection lost,192.168.1.190
2024-11-28T18:49:44.178082,WARNING,CPU overload,192.168.1.12
2024-11-28T18:49:45.181410,ERROR,Service timeout,192.168.1.198
2024-11-28T18:49:46.183758,INFO,Operation successful,192.168.1.198
2024-11-28T18:49:47.186198,INFO,Data saved,192.168.1.220
2024-11-28T18:49:48.190218,ERROR,Service timeout,192.168.1.176
2024-11-28T18:49:49.192185,INFO,User logged in,192.168.1.12
2024-11-28T18:49:50.194807,INFO,User logged in,192.168.1.120
2024-11-28T18:49:51.196992,ERROR,Failed login attempt,192.168.1.220
2024-11-28T18:49:52.198873,INFO,User logged in,192.168.1.71
2024-11-28T18:49:53.202400,INFO,Data saved,192.168.1.191
2024-11-28T18:49:54.205037,INFO,User logged in,192.168.1.12
2024-11-28T18:49:55.207097,WARNING,Disk space low,192.168.1.42
2024-11-28T18:49:56.209086,INFO,Data saved,192.168.1.176
2024-11-28T18:49:57.212455,INFO,Data saved,192.168.1.49
2024-11-28T18:49:58.215042,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:49:59.218472,INFO,User logged in,192.168.1.120
2024-11-28T18:50:00.221961,ERROR,Database connection lost,192.168.1.12
2024-11-28T18:50:01.224604,INFO,User logged in,192.168.1.143
2024-11-28T18:50:02.227172,WARNING,Memory usage high,192.168.1.42
2024-11-28T18:50:03.231232,ERROR,Service timeout,192.168.1.128
2024-11-28T18:50:04.234577,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:50:05.238636,INFO,User logged in,192.168.1.42
2024-11-28T18:50:06.242148,INFO,User logged in,192.168.1.42
2024-11-28T18:50:07.244780,INFO,User logged in,192.168.1.93
2024-11-28T18:50:08.247825,INFO,Data saved,192.168.1.191
2024-11-28T18:50:09.250901,INFO,Data saved,192.168.1.143
2024-11-28T18:50:10.253090,ERROR,Failed login attempt,192.168.1.71
2024-11-28T18:50:11.256119,ERROR,Failed login attempt,192.168.1.129
2024-11-28T18:50:12.259176,ERROR,Failed login attempt,192.168.1.12
2024-11-28T18:50:13.261131,INFO,Operation successful,192.168.1.191
2024-11-28T18:50:14.264153,INFO,Data saved,192.168.1.12
2024-11-28T18:50:15.267277,INFO,Data saved,192.168.1.42
2024-11-28T18:50:16.270333,INFO,Operation successful,192.168.1.71
2024-11-28T18:50:17.274059,INFO,Data saved,192.168.1.12
2024-11-28T18:50:18.277128,ERROR,Database connection lost,192.168.1.71
2024-11-28T18:50:19.280414,INFO,Operation successful,192.168.1.143
2024-11-28T18:50:20.282303,INFO,User logged in,192.168.1.220
2024-11-28T18:50:21.285421,INFO,User logged in,192.168.1.49
2024-11-28T18:50:22.287358,ERROR,Failed login attempt,192.168.1.70
2024-11-28T18:50:23.290450,ERROR,Service timeout,192.168.1.198
2024-11-28T18:50:24.293640,INFO,User logged in,192.168.1.198
2024-11-28T18:50:25.297240,INFO,Operation successful,192.168.1.198
2024-11-28T18:50:26.302433,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:50:27.305905,ERROR,Service timeout,192.168.1.143
2024-11-28T18:50:28.309456,INFO,Data saved,192.168.1.93
2024-11-28T18:50:29.312531,INFO,Operation successful,192.168.1.42
2024-11-28T18:50:30.315529,INFO,User logged in,192.168.1.220
2024-11-28T18:50:31.319624,INFO,Data saved,192.168.1.120
2024-11-28T18:50:32.323000,ERROR,Failed login attempt,192.168.1.246
2024-11-28T18:50:33.326695,ERROR,Database connection lost,192.168.1.198
2024-11-28T18:50:34.329815,INFO,Operation successful,192.168.1.120
2024-11-28T18:50:35.333365,INFO,User logged in,192.168.1.143
2024-11-28T18:50:36.336937,INFO,Operation successful,192.168.1.217
2024-11-28T18:50:37.340847,INFO,User logged in,192.168.1.93
2024-11-28T18:50:38.342662,INFO,Operation successful,192.168.1.49
2024-11-28T18:50:39.345882,INFO,Operation successful,192.168.1.143
2024-11-28T18:50:40.348912,INFO,Data saved,192.168.1.217
2024-11-28T18:50:41.351822,INFO,Data saved,192.168.1.176
2024-11-28T18:50:42.354640,WARNING,CPU overload,192.168.1.93
2024-11-28T18:50:43.357923,INFO,Operation successful,192.168.1.12
2024-11-28T18:50:44.359886,INFO,User logged in,192.168.1.49
2024-11-28T18:50:45.362949,INFO,Data saved,192.168.1.246
2024-11-28T18:50:46.366802,INFO,Data saved,192.168.1.246
2024-11-28T18:50:47.369130,INFO,Data saved,192.168.1.220
2024-11-28T18:50:48.371858,INFO,User logged in,192.168.1.220
2024-11-28T18:50:49.374646,INFO,Data saved,192.168.1.70
2024-11-28T18:50:50.377942,INFO,Operation successful,192.168.1.12
2024-11-28T18:50:51.382325,INFO,Operation successful,192.168.1.42
2024-11-28T18:50:52.385764,INFO,Operation successful,192.168.1.143
2024-11-28T18:50:53.388860,INFO,Operation successful,192.168.1.128
2024-11-28T18:50:54.393227,ERROR,Service timeout,192.168.1.246
2024-11-28T18:50:55.396475,INFO,Operation successful,192.168.1.176
2024-11-28T18:50:56.400170,WARNING,Memory usage high,192.168.1.129
2024-11-28T18:50:57.402029,INFO,Operation successful,192.168.1.176
2024-11-28T18:50:58.405118,WARNING,CPU overload,192.168.1.157
2024-11-28T18:50:59.408185,INFO,Data saved,192.168.1.12
2024-11-28T18:51:00.411394,ERROR,Failed login attempt,192.168.1.176
2024-11-28T18:51:01.415417,ERROR,Database connection lost,192.168.1.42
2024-11-28T18:51:02.418609,INFO,Operation successful,192.168.1.12
2024-11-28T18:51:03.421172,ERROR,Database connection lost,192.168.1.70
2024-11-28T18:51:04.424418,INFO,Operation successful,192.168.1.190
2024-11-28T18:51:05.427799,INFO,Operation successful,192.168.1.71
2024-11-28T18:51:06.431195,INFO,Operation successful,192.168.1.191
2024-11-28T18:51:07.434255,ERROR,Service timeout,192.168.1.12
2024-11-28T18:51:08.437271,INFO,Operation successful,192.168.1.12
2024-11-28T18:51:09.440658,INFO,Data saved,192.168.1.191
2024-11-28T18:51:10.443775,INFO,Operation successful,192.168.1.217
2024-11-28T18:51:11.446880,ERROR,Service timeout,192.168.1.190
2024-11-28T18:51:12.450161,INFO,Operation successful,192.168.1.190
2024-11-28T18:51:13.454130,INFO,User logged in,192.168.1.128
2024-11-28T18:51:14.457244,INFO,Data saved,192.168.1.217
2024-11-28T18:51:15.460271,INFO,Data saved,192.168.1.70
2024-11-28T18:51:16.463358,WARNING,Disk space low,192.168.1.128
2024-11-28T18:51:17.466876,INFO,Data saved,192.168.1.246
2024-11-28T18:51:18.469942,INFO,User logged in,192.168.1.190
2024-11-28T18:51:19.473736,INFO,User logged in,192.168.1.157
2024-11-28T18:51:20.477085,ERROR,Service timeout,192.168.1.120
2024-11-28T18:51:21.480364,INFO,Data saved,192.168.1.42
2024-11-28T18:51:22.484054,ERROR,Service timeout,192.168.1.12
2024-11-28T18:51:23.487240,INFO,Operation successful,192.168.1.190
2024-11-28T18:51:24.491061,INFO,User logged in,192.168.1.246
2024-11-28T18:51:25.492948,WARNING,Disk space low,192.168.1.143
2024-11-28T18:51:26.494836,INFO,User logged in,192.168.1.49
2024-11-28T18:51:27.497983,ERROR,Service timeout,192.168.1.220
2024-11-28T18:51:28.501807,INFO,Data saved,192.168.1.70
2024-11-28T18:51:29.504501,ERROR,Service timeout,192.168.1.49
2024-11-28T18:51:30.507402,WARNING,Memory usage high,192.168.1.198
2024-11-28T18:51:31.510658,INFO,Data saved,192.168.1.12
2024-11-28T18:51:32.513410,INFO,Operation successful,192.168.1.12
2024-11-28T18:51:33.515256,INFO,Operation successful,192.168.1.190
2024-11-28T18:51:34.518218,INFO,User logged in,192.168.1.191
2024-11-28T18:51:35.521243,INFO,Data saved,192.168.1.71
2024-11-28T18:51:36.524323,INFO,User logged in,192.168.1.220
2024-11-28T18:51:37.527456,INFO,Data saved,192.168.1.143
2024-11-28T18:51:38.530836,WARNING,CPU overload,192.168.1.12
2024-11-28T18:51:39.533775,ERROR,Service timeout,192.168.1.176
2024-11-28T18:51:40.535868,INFO,Data saved,192.168.1.120
2024-11-28T18:51:41.539844,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:51:42.543740,INFO,Operation successful,192.168.1.128
2024-11-28T18:51:43.551624,ERROR,Failed login attempt,192.168.1.176
2024-11-28T18:51:44.554713,INFO,Operation successful,192.168.1.191
2024-11-28T18:51:45.556794,INFO,Operation successful,192.168.1.120
2024-11-28T18:51:46.559174,INFO,User logged in,192.168.1.12
2024-11-28T18:51:47.561776,INFO,Operation successful,192.168.1.12
2024-11-28T18:51:48.564304,INFO,Data saved,192.168.1.70
2024-11-28T18:51:49.566136,INFO,Operation successful,192.168.1.246
2024-11-28T18:51:50.570009,INFO,Operation successful,192.168.1.49
2024-11-28T18:51:51.573299,INFO,User logged in,192.168.1.191
2024-11-28T18:51:52.575739,ERROR,Failed login attempt,192.168.1.42
2024-11-28T18:51:53.579791,INFO,Operation successful,192.168.1.93
2024-11-28T18:51:54.583170,INFO,Data saved,192.168.1.12
2024-11-28T18:51:55.586946,ERROR,Database connection lost,192.168.1.49
2024-11-28T18:51:56.589616,INFO,Operation successful,192.168.1.71
2024-11-28T18:51:57.591637,INFO,Data saved,192.168.1.217
2024-11-28T18:51:58.594746,WARNING,Disk space low,192.168.1.220
2024-11-28T18:51:59.597836,INFO,Operation successful,192.168.1.71
2024-11-28T18:52:00.601010,ERROR,Failed login attempt,192.168.1.190
2024-11-28T18:52:01.604124,INFO,Data saved,192.168.1.120
2024-11-28T18:52:02.607261,INFO,User logged in,192.168.1.157
2024-11-28T18:52:03.610205,INFO,Operation successful,192.168.1.128
2024-11-28T18:52:04.613156,INFO,User logged in,192.168.1.70
2024-11-28T18:52:05.617010,INFO,Operation successful,192.168.1.70
2024-11-28T18:52:06.620875,WARNING,CPU overload,192.168.1.176
2024-11-28T18:52:07.623868,INFO,Operation successful,192.168.1.93
2024-11-28T18:52:08.626471,INFO,Operation successful,192.168.1.12
2024-11-28T18:52:09.629703,INFO,User logged in,192.168.1.128
2024-11-28T18:52:10.633464,INFO,Data saved,192.168.1.176
2024-11-28T18:52:11.637388,ERROR,Service timeout,192.168.1.70
2024-11-28T18:52:12.640455,ERROR,Database connection lost,192.168.1.120
2024-11-28T18:52:13.643479,INFO,Operation successful,192.168.1.246
2024-11-28T18:52:14.646522,INFO,Data saved,192.168.1.70
2024-11-28T18:52:15.649456,ERROR,Failed login attempt,192.168.1.42
2024-11-28T18:52:16.653545,INFO,Data saved,192.168.1.220
2024-11-28T18:52:17.656590,INFO,Data saved,192.168.1.12
2024-11-28T18:52:18.659714,INFO,Data saved,192.168.1.70
2024-11-28T18:52:19.662908,ERROR,Failed login attempt,192.168.1.93
2024-11-28T18:52:20.665019,INFO,User logged in,192.168.1.49
2024-11-28T18:52:21.668080,WARNING,Memory usage high,192.168.1.217
2024-11-28T18:52:22.671177,WARNING,Disk space low,192.168.1.157
2024-11-28T18:52:23.674250,ERROR,Service timeout,192.168.1.120
2024-11-28T18:52:24.677262,INFO,Data saved,192.168.1.220
2024-11-28T18:52:25.680387,WARNING,Memory usage high,192.168.1.120
2024-11-28T18:52:26.683481,WARNING,Memory usage high,192.168.1.12
2024-11-28T18:52:27.686496,INFO,Data saved,192.168.1.191
2024-11-28T18:52:28.689577,ERROR,Failed login attempt,192.168.1.157
2024-11-28T18:52:29.693482,INFO,User logged in,192.168.1.120
2024-11-28T18:52:30.696581,ERROR,Service timeout,192.168.1.120
2024-11-28T18:52:31.699747,INFO,User logged in,192.168.1.12
2024-11-28T18:52:32.703138,INFO,Data saved,192.168.1.49
2024-11-28T18:52:33.706193,ERROR,Failed login attempt,192.168.1.176
2024-11-28T18:52:34.709615,INFO,Operation successful,192.168.1.128
2024-11-28T18:52:35.712702,WARNING,CPU overload,192.168.1.246
2024-11-28T18:52:36.716206,INFO,Operation successful,192.168.1.190
2024-11-28T18:52:37.719285,ERROR,Failed login attempt,192.168.1.191
2024-11-28T18:52:38.722389,ERROR,Service timeout,192.168.1.71
2024-11-28T18:52:39.725435,INFO,User logged in,192.168.1.128
2024-11-28T18:52:40.729001,INFO,User logged in,192.168.1.129
2024-11-28T18:52:41.732073,ERROR,Failed login attempt,192.168.1.176
2024-11-28T18:52:42.735189,INFO,User logged in,192.168.1.71
2024-11-28T18:52:43.738988,INFO,User logged in,192.168.1.246
2024-11-28T18:52:44.742842,INFO,Operation successful,192.168.1.246
2024-11-28T18:52:45.745972,INFO,Operation successful,192.168.1.198
2024-11-28T18:52:46.749149,INFO,Operation successful,192.168.1.12
2024-11-28T18:52:47.752251,INFO,Operation successful,192.168.1.246
2024-11-28T18:52:48.755389,INFO,Data saved,192.168.1.157
2024-11-28T18:52:49.758450,INFO,Operation successful,192.168.1.190
2024-11-28T18:52:50.761554,INFO,User logged in,192.168.1.120
2024-11-28T18:52:51.765363,INFO,Operation successful,192.168.1.198
2024-11-28T18:52:52.768582,INFO,Data saved,192.168.1.157
2024-11-28T18:52:53.772420,INFO,Data saved,192.168.1.49
2024-11-28T18:52:54.775767,INFO,User logged in,192.168.1.71
2024-11-28T18:52:55.778917,ERROR,Database connection lost,192.168.1.190
2024-11-28T18:52:56.782090,INFO,User logged in,192.168.1.191
2024-11-28T18:52:57.785572,WARNING,Memory usage high,192.168.1.129
2024-11-28T18:52:58.788776,INFO,User logged in,192.168.1.128
2024-11-28T18:52:59.791833,INFO,Data saved,192.168.1.12
2024-11-28T18:53:00.795498,ERROR,Database connection lost,192.168.1.143
2024-11-28T18:53:01.799175,ERROR,Database connection lost,192.168.1.42
2024-11-28T18:53:02.802883,WARNING,CPU overload,192.168.1.129
2024-11-28T18:53:03.806681,INFO,Operation successful,192.168.1.128
2024-11-28T18:53:04.809822,INFO,User logged in,192.168.1.12
2024-11-28T18:53:05.812952,WARNING,CPU overload,192.168.1.190
2024-11-28T18:53:06.816321,INFO,Data saved,192.168.1.12
2024-11-28T18:53:07.820149,INFO,User logged in,192.168.1.49
2024-11-28T18:53:08.823178,ERROR,Failed login attempt,192.168.1.190
2024-11-28T18:53:09.826783,ERROR,Failed login attempt,192.168.1.128
2024-11-28T18:53:10.830641,INFO,Operation successful,192.168.1.191
2024-11-28T18:53:11.833710,INFO,User logged in,192.168.1.12
2024-11-28T18:53:12.837832,WARNING,Disk space low,192.168.1.129
2024-11-28T18:53:13.841608,INFO,Data saved,192.168.1.129
2024-11-28T18:53:14.845234,INFO,User logged in,192.168.1.157
2024-11-28T18:53:15.848916,ERROR,Database connection lost,192.168.1.191
2024-11-28T18:53:16.851337,INFO,User logged in,192.168.1.220
2024-11-28T18:53:17.853701,ERROR,Failed login attempt,192.168.1.70
2024-11-28T18:53:18.862976,INFO,Operation successful,192.168.1.128
2024-11-28T18:53:19.865822,INFO,Data saved,192.168.1.93
2024-11-28T18:53:20.868099,INFO,Operation successful,192.168.1.70
